varied_bus,observed_bus,variance,std
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,2.8635111914433318e-06,0.001692191239619013
5,5,2.5683269926123805e-05,0.005067866407683199
5,6,1.5648754266046674e-06,0.001250949809786415
5,7,1.543779637596527e-06,0.0012424892907371584
5,8,9.14730527369579e-07,0.0009564154575128839
5,9,2.764571363069979e-07,0.0005257919135047608
6,1,0.0,0.0
6,2,1.6434602192104412e-32,1.2819751242557092e-16
6,3,3.2869204384208823e-32,1.8129866073473578e-16
6,4,8.570629065294907e-07,0.0009257769204994747
6,5,4.2330504913727295e-07,0.0006506189738528019
6,6,1.181059447158087e-05,0.0034366545464420586
6,7,1.0044700738718493e-07,0.00031693375867393003
6,8,2.8185195817566914e-07,0.0005308973141537534
6,9,5.835601404608238e-07,0.0007639110815146117
8,1,0.0,0.0
8,2,3.2869204384208823e-32,1.8129866073473578e-16
8,3,3.2869204384208823e-32,1.8129866073473578e-16
8,4,8.627531850136851e-08,0.0002937266050281597
8,5,9.106710708728501e-08,0.00030177327099543624
8,6,2.9515871025591072e-08,0.00017180183650238165
8,7,9.927717929670294e-07,0.0009963793419009797
8,8,7.3304053776093035e-06,0.0027074721379192995
8,9,6.908381474314313e-07,0.0008311667386460019
